lmh      1872562  5.4  0.3 129925468 3977460 pts/10 Sl 02:08   0:55 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_3 hydra.output_subdir=null
lmh      1877844  3.6  0.1 293856728 1744532 pts/10 Sl 02:10   0:32 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_2 hydra.output_subdir=null
lmh      1877845  4.0  0.1 275054484 1697908 pts/10 Sl 02:10   0:35 python src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"]
lmh      1877908  3.7  0.3 280502708 3937208 pts/10 Sl 02:10   0:32 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_1 hydra.output_subdir=null
lmh      1877940  4.5  0.2 295218268 3126592 pts/10 Sl 02:10   0:39 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_2 hydra.output_subdir=null
lmh      1877972  3.7  0.1 274989048 1633364 pts/10 Sl 02:10   0:32 python src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"]
lmh      1878004  3.9  0.3 280325404 3759912 pts/10 Sl 02:10   0:34 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_1 hydra.output_subdir=null
lmh      1878036  3.4  0.1 293832244 1715068 pts/10 Sl 02:10   0:30 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_2 hydra.output_subdir=null
lmh      1878085  5.4  0.5 278648432 5312328 pts/10 Sl 02:10   0:48 python src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"]
lmh      1878117  5.3  0.3 277292600 3956584 pts/10 Sl 02:10   0:47 python src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"]
lmh      1878161  4.0  0.1 278363400 1800468 pts/10 Sl 02:10   0:35 /home/lmh/anaconda3/envs/enzpyg39L/bin/python /home/lmh/projects_dir/MulConf0420/src/train.py trainer=ddp trainer.devices=[0,1,2,3] mode=6 data.batch_size=32 trainer.max_epochs=45 tags=["mode6 ; wt_af3_ref_pdb ; cat ;bs32; cov2repr ;single gearnet layer"] hydra.run.dir="/home/lmh/projects_dir/MulConf0420/logs//train_conf/runs/2025-05-03_02-08-05" hydra.job.name=train_ddp_process_1 hydra.output_subdir=null
lmh      1884593  0.0  0.0   6612  2316 pts/19   S+   02:24   0:00 grep --color=auto python
